ID,NAME
1046,Ginger Chai Tea
1047,Ginger Coffee
1048,Ginger Elaichi Chai Tea
1049,Ginger Rice
1050,Ginger Soup
1051,Ginger Soda
1052,Ginger Chai Tea
1053,Goan Fish Curry
1054,Gobhi Paratha
1055,Gobi 65
1056,Gobi 65 Biryani
1057,Gobi Bajji
1058,Gobi Chili
1059,Gobi Chilli Dry
1060,Gobi Corn Dosa
1061,Gobi Fried Rice
1062,Gobi Manchurian
1063,Gobi Masala
1064,Gobi Mushroom Masala Dosa
1065,Gobi Pepper Dry
1066,Gobi Pepper Masala Dosa
1067,Gobi Pulao
1068,Gobi Pyaz Paratha
1069,Gobindo Bhug Chaaler Payesh
1070,Gol Bhajji
1071,Gol Gappe
1072,Golden Corn Pizza
1073,Gongura Chicken
1074,Gongura Chicken Biryani
1075,Gongura Mutton Biryani
1076,Gongura Veg Biryani
1077,Gothamb Pradhaman
1078,Grape Juice
1079,Greek Farm House Salad
1080,Greek Salad
1081,Green Grapes Milkshake
1082,Green Mirchi Chicken Biryani
1083,Green Mirchi Mutton Biryani
1084,Green Moong Dal
1085,Green Moong Usli
1086,Green Moong Vada
1087,Green Moongdal Masala Dosa
1088,Green Peas Masala
1089,Green Peas Masala Dosa
1090,Green Peas Paratha
1091,Green Peas Poha
1092,Green Tea Milk
1093,Green Tea
1094,Green Salad
1095,Grilled Chicken
1096,Grilled Chicken Burger
1097,Grilled Chicken Cheese Sandwich
1098,Grilled Chicken Salad
1099,Grilled Chicken Sandwich
1100,Grilled Fish Salad
1101,Grilled Paneer Sandwich
1102,Grilled Veg Sandwich
1103,Ground Nut
1104,Ground Nut Barfi
1105,Guacamole
1106,Guava
1107,Guava Juice
1108,Guava Milk Shake
1109,Guava Mojito
1110,Gud Bud Sundae
1111,Gud Chai Tea
